FileName,Type,Group,Instance,TGIType,TGISubtype,Message
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x8A577798,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0xAA56390E,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x6A563932,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0xEA57776A,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0xA8934308,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x2A58FF02,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0xC8C96954,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x688DD247,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x88C9691A,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x68C9688C,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0xE8C967E7,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x88A92254,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x88A9227E,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0xA8C9686B,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0xA8A92353,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0xC8A922E4,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x88934366,EXMP,EXEMPLAR,missing property: ExemplarType
MUTCD US Highway Signs Pack, 0x6534284A,0x07BDDF1C,0x28C96831,EXMP,EXEMPLAR,missing property: ExemplarType
